Chart number	French equivalent	Latin etymon
C 131	j'achèterai	accaptare + habeo
C 132	aussi	alesĭc + bĕne
C 133	"des" pantalons	calceas
C 134	(une) ceinture	cinctūra
C 135	(de la) toile	tēla
C 136	(de la) soie	sēta
C 137	(de la) laine	lana
C 138	(du) cuir	cŏriu
C 139	ce drap de lit	linteŏlu
C 140	est meilleur	meliōre
C 141	que l'autre	alteru
C 142	il a une	habet
C 143	largeur	largu + ōre
C 144	double	dŭpla
C 145	la couture	co(n)sutūra
C 146	est droite	dirēcta
C 147	le char	carru
C 148	est léger	leviariu
C 149	la chaîne	catēna
C 150	(est) légère	leviaria
C 151	la corde	cŏrda
C 152	neuve	nŏva
C 153	est meilleure	meliōre
C 154	le cercle	cĭrculu
C 155	est rond	rotŭndu
C 156	la roue	rŏta
C 157	(est) ronde	rotŭnda
C 158	il faudra	fallere + habet
C 159	bientôt	bĕne tŏstu
C 160	tondre	tŏndere
C 161	les brebis	fētas
C 162	racérer	reaciariare
C 163	la hache	happia (+ itta)
C 164	battre en grange	excŭtere
C 165	moudre	mŏlere
C 166	le blé	blatu
C 167	garder	wardare
C 168	les bêtes	bĕstias
C 169	tourner	(re)virare
C 170	la terre	tĕrra
C 171	semer	seminare
C 172	(le) chanvre	cannapu
C 173	les fèves	fabas
C 174	le cheval	caballu
C 175	est vendu	vendūtu
C 176	la vache	vacca
C 177	(est) vendue	vendūta
C 178	les chèvres	capras
C 179	(sont) vendues	vendūtas
C 180	il est cher	caru
C 181	(elle est) chère	cara
C 182	(elles sont) chères	caras
C 183	le porc	pŏrcu
C 184	est gros	grŏssu
C 185	la truie	trŏia
C 186	(est) grosse	grŏssa
C 187	le foin	fēnu
C 188	est sec	sĭccu
C 189	l'herbe	hĕrba
C 190	(est) sèche	sĭcca
C 191	que veux-tu?	quĭd voles tū
C 192	je voudrais	volere + habēbam
C 193	du sel	sal
C 194	du poivre	pĭper
C 195	une feuille	fŏlia
C 196	de chou	caule
C 197	une gerbe	garba
C 198	de paille	palea
C 199	un sac	saccu
C 200	d'avoine	avēna
C 201	de farine	farĭna
C 202	une brassée	braciata
C 203	(des) brassées	braciatas
C 204	de bois	bŏscu
C 205	(une) pelletée	palata
C 206	(des) pelletées	palatas
C 207	de charbon	carbōne
C 208	une poignée	pugnata
C 209	(des) poignées	pugnatas
C 210	de cendres	cĭneres
C 211	j'avais	habēbam
C 212	faim	fame
C 213	et soif	sĭte
C 214	j'ai mangé	manducatu
C 215	du pain	pane
C 216	(du) miel	mĕl
C 217	un œuf	ŏvu
C 218	cru	crūdu
C 219	(de la) viande	carne
C 220	crue	crūda
C 221	(du) fromage	formaticu
C 222	(du) âséracâ	seraceu
C 223	la moitié	medietate
C 224	d'une pomme	pōma
C 225	cuite	cŏcta
C 226	(la pomme est) mangée	manducata
C 227	les deux moitiés	dŭas medietates
C 228	(sont) mangées	manducatas
C 229	il m'a fallu	fallūtu
C 230	boire	bĭbere
C 231	du lait	lacticĕllu
C 232	du petit-lait	lactata
C 233	le vin	vĭnu
C 234	est clair	claru
C 235	tiède	tĕpidu
C 236	l'eau	aqua
C 237	(est) claire	clara
C 238	tiède	tĕpida
C 239	le verre	vĭtru
C 240	est plein	plēnu
C 241	la cuiller	cochleare
C 242	(est) pleine	plēna
C 243	il a bu	bibūtu
C 244	(une) cuillerée, (des) cuillerées	cochlearata, -atas
C 245	de poison	potiōne
C 246	il meurt	mŏrit
C 247	ce fruit	frūctu, frūcta
C 248	est rouge	rŭbeu
C 249	mûr	matūru
C 250	doux	dŭlce
C 251	la prune	prūna
C 252	(est) mûre	matūra
C 253	douce	dŭlce + a
C 254	notre	nŏstru
C 255	pommier	pomariu
C 256	perd	pĕrdit
C 257	sa sève	sapa
C 258	il ne peut	pŏtet
C 259	plus	plūs
C 260	croître	crēscere
C 261	le gland	glande
C 262	croît	crēscit
C 263	sur	sū(r)su
C 264	le chêne	cassinu
C 265	le saule	salice
C 266	a moins	mĭnus
C 267	de nœuds	nōdos
C 268	que le hêtre	fagu
C 269	voilà 	*-
C 270	une plante	planta
C 271	sans	sĭne
C 272	épines	spĭnas
C 273	on vient	hŏmo vĕnit
C 274	m'appeler	appellare (quiritare)
C 275	pour	pro
C 276	manger	manducare
C 277	chasser	captiare
C 278	un chien	cane
C 279	prendre	prē(he)ndere
C 280	un voleur	latro
C 281	(il est) pris, (elle est) prise	prē(hen)su, -ē(hen)sa
C 282	le meunier	molinariu
C 283	moud	mŏlit
C 284	on croit	crēdit
C 285	(qu'il est) riche	rĭccu
C 286	il a fait	factu
C 287	une perte	pĕrdita
C 288	sa femme	fēmina
C 289	est riche	rĭcca
C 290	ils ont	habent
C 291	un beau	bĕllu
C 292	jardin	co(ho)rtīle
C 293	une belle	bĕlla
C 294	vigne	vĭnea
C 295	ils peuvent	pŏtunt
C 296	payer	pacare
C 297	la fille	fīlia
C 298	de ma sœur	sŏror
C 299	chante	cantat
C 300	bien	bĕne
C 301	tu chantes	cantas
C 302	mieux qu'elle	mĕlius, illæi
C 303	ces gens	gĕntes
C 304	ont chanté	cantatu
C 305	(une) chanson	cantiōne
C 306	elle a été	statu habūtu
C 307	mal chantée	male cantata
C 308	elles ont été (mal) chantées	cantatas
C 309	(ils) devraient	dēbere + (hab)ēbant
C 310	tous	tōttĭ
C 311	se taire	qu(i)etiare
C 312	toutes	tōttas
C 313	ces femmes	fēminas
C 314	ne savent pas	sapunt
C 315	chanter	cantare
C 316	on ne peut pas	pŏtet
C 317	tout savoir	sapēre
C 318	cela ne prouve	prŏbat
C 319	rien	rĕm
C 320	on défend	defĕndit
C 321	aux enfants	infantes
C 322	(de) jurer	jurare
C 323	(de) pleurer	plorare
C 324	(de) sauter	saltare
C 325	cette fillette	filia + ĭtta
C 326	a fait	factu
C 327	sa prière	precaria
C 328	elle a sommeil	sŏmnu
C 329	elle dort	dŏrmit
C 330	déjà	jam
C 331	quand	quando
C 332	vous venez	venītis
C 333	vous coucher	collocare
C 334	mon frère	fratre
C 335	s'ennuie	inŏdiat
C 336	tout seul	solĭttu
C 337	vous voudriez	volēre + (hab)ebatis
C 338	que je ne le	ĭllu
C 339	sache pas	sapiam
C 340	je pleure	plōro
C 341	doucement	-mĕnte
C 342	pour qu'on n'entende pas	hŏmo audiat
C 343	(je) sais	sa(p)io
C 344	un peu	paucu
C 345	lire	lĕgere
C 346	je ne le dis	dīco
C 347	qu'à eux	illōru
C 348	il frappe	fĕrit
C 349	une heure	hōra
C 350	pas de fumée	fumaria
C 351	sans feu	fŏcu
C 352	la flamme	flamma
C 353	est chaude	cal(i)da
C 354	le voisin	vicīnu
C 355	est arrivé	adrīpatu
C 356	la voisine	vicīna
C 357	(est) arrivée	adripata
C 358	(il est) vieux, (elle est) vieille	vĕclu, -cla
C 359	laid, laide	pūtidu, -da
C 360	sourd, sourde	sŭrdu, -da
C 361	pauvre (m. et f.)	pauperu, -ra
C 362	fier, fière	fĕru, -ra
C 363	dimanche	dīe domĭnica
C 364	lundi	dīe lūnæ
C 365	jeudi	dīe jŏvis
C 366	combien	waigaro
C 367	de monnaie	monēta
C 368	as-tu	ha(be)s tū
C 369	encore	anque ad hōra
C 370	j'en ai	ĭnde habeo
C 371	assez	prōde
C 372	plus que toi	magis
C 373	ayez	habeatis
C 374	pitié	pietate
C 375	de cet ouvrier	operariu
C 376	(il n'a pas) la santé	sanitate
C 377	quelle	quīna?
C 378	pauvreté	paupertate
C 379	il veut	vŏlet
C 380	changer	cambiare
C 381	de métier	ministĕriu
C 382	la semaine	septimana
C 383	passée	passata
C 384	je me suis fait	sŭm factu
C 385	une entorse	intŏrsa
C 386	j'ai eu	habūtu
C 387	la fièvre	fĕbre
C 388	le médecin	mĕdicu
C 389	a dû	debūtu
C 390	venir	venīre
C 391	il m'a donné	bajulatu
C 392	une poudre	pŭlvere
C 393	blanche	blanca
C 394	jaune	galbina
C 395	rouge	rŭbea
C 396	verte	vĭrida
C 397	j'ai pris	prē(hen)su
C 398	une goutte	gŭtta
C 399	de gentiane	gentiana
C 400	(cela m'a) aidé	adjutatu
C 401	à me guérir	warīre
C 402	maintenant	ad hōra
C 403	je suis guéri	sŭm warītu
C 404	guérie	warīta
C 405	(elles sont) guéries	warītas
C 406	il a mal	malu
C 407	au pied	pĕde
C 408	(au) genou	genŭclu
C 409	(au) coude	cŭbitu
C 410	(au) doigt	dĭgitu
C 411	(au) pouce	pŏllice
C 412	(au) nez	nasu
C 413	aux dents	dĕntes
C 414	(au) cou	collu
C 415	(au) cÅur	cŏr
C 416	(à la) cuisse	cŏxa
C 417	(à une) côté	cŏsta
C 418	à un œil	ŏclu
C 419	aux yeux	ŏclos
C 420	(à la) langue	lĭngua
C 421	(à la) tête	tĕsta
C 422	(à un) ongle	ŭngla
C 423	(à une) oreille	aurĭcla, -ŭcla
C 424	il est tombé	cadūtu, -ēctu
C 425	(elle est) tombée	cadūta, -ēcta
C 426	sur son derrière	cūlu
C 427	il tombe	cadit
C 428	toujours	ad id ĭpsu
C 429	il a le bras	brachiu
C 430	nu	nūdu
C 431	la main	manu
C 432	nue	nūda
C 433	son corps	cŏrpus
C 434	est maigre	macru
C 435	la peau	pĕlle
C 436	est épaisse	spĭssa
C 437	l'os	ŏssu
C 438	(est) épais	spĭssu
C 439	il est droit	dirēctu
C 440	je tue	tūto
C 441	une mouche	mŭsca
C 442	(une) araignée	aranea
C 443	une fourmi	formĭcu, -a
C 444	(une) guêpe	wĕspa
C 445	(une) puce	pūlice
C 446	(un) pou	pedŭclu
C 447	le chasseur	captiatōre
C 448	a vu	vidūtu
C 449	un lièvre	lĕpore
C 450	(un) loup	lŭpu
C 451	(un) sanglier	singulare
C 452	(un) aigle	aquila
C 453	un bel	bĕllu
C 454	oiseau vert	aucĕllu vĭride
C 455	l'oiseau	aucĕllu
C 456	fait	facit
C 457	son nid	nīdu
C 458	dans l'arbre	arbore
C 459	le poussin	pullicīnu
C 460	a des ailes	alas
C 461	des plumes	plūmas
C 462	le chat	cattu
C 463	a le poil	pĭlu
C 464	blanc	blancu
C 465	la queue	cōda
C 466	jaune	galbina
C 467	un, une	ūnu, ūna
C 468	deux	dŭo, dŭas
C 469	trois	trēs
C 470	quatre	quatt(u)or
C 471	cinq	cīnque
C 472	six	sĕx
C 473	sept	sĕpte
C 474	huit	ŏctu
C 475	neuf	nŏve
C 476	dix	dĕce
C 477	onze	ŭndeci
C 478	douze	d(u)ōdeci
C 479	vingt	vigĭnti
C 480	cent	cĕntu
